H01	EVM core opcodes & execution	horizontal	packages/evm	The low-level EVM (opcodes, gas, journal, message frame).
H02	VM runner (block/tx execution)	horizontal	packages/vm	Wraps EVM with block/tx-level orchestration (runTx, runBlock, hardfork transitions).
H03	State manager	horizontal	packages/state	Account/storage/code state including fork-mode proxying and persistence.
H04	Blockchain + receipts + persistence	horizontal	packages/blockchain packages/receipt-manager packages/sync-storage-persister	Chain head, reorg, block storage, receipt index, persister interface.
H05	Block, Tx, TxPool	horizontal	packages/block packages/tx packages/txpool	Block/tx data structures, tx pool semantics (replacement, eviction, nonces).
H06	Trie, RLP, utils, address	horizontal	packages/trie packages/rlp packages/utils packages/address	Foundational primitives. Look hard at trie correctness + RLP edge cases.
H07	Errors, logger, common, consensus, effect	horizontal	packages/errors packages/logger packages/common packages/consensus packages/effect	Cross-cutting infra: error taxonomy, logging discipline, chain Common, consensus glue.
H08	JSON-RPC transport (jsonrpc + http-client + server)	horizontal	packages/jsonrpc packages/http-client packages/server	Wire-format, request/response framing, batching, server middleware, error mapping.
H09	Actions (handlers backing every method)	horizontal	packages/actions	The big one. eth_*/anvil_*/debug_*/tevm_* handlers and Call/Contract/Deploy/Mine internals.
H10	Procedures, decorators, memory-client, node, client-types	horizontal	packages/procedures packages/decorators packages/memory-client packages/client-types packages/node	Public client surface that composes actions into the Tevm node + memory client.
H11	Contract, predeploys, precompiles	horizontal	packages/contract packages/predeploys packages/precompiles	Contract typing, custom precompiles, predeployed contracts (e.g. OP-stack).
H12	Bundler core	horizontal	bundler-packages/base-bundler bundler-packages/bundler-cache bundler-packages/compiler bundler-packages/config bundler-packages/resolutions bundler-packages/runtime bundler-packages/solc bundler-packages/whatsabi	Shared bundler pipeline: config load, resolution, solc invocation, codegen.
H13	Bundler plugins (esbuild/vite/webpack/rollup/etc.)	horizontal	bundler-packages/bun bundler-packages/esbuild bundler-packages/rollup bundler-packages/rspack bundler-packages/vite bundler-packages/webpack bundler-packages/unplugin bundler-packages/requirejs bundler-packages/tevm-run bundler-packages/mud	Plugin adapters around the core. Hot-reload, source maps, watch correctness.
H14	Rust bundler components	horizontal	bundler-packages/resolutions-rs bundler-packages/runtime-rs bundler-packages/solc-rs	Rust ports of resolution/runtime/solc. Look at FFI boundaries, error mapping, parity with JS.
H15	Extensions + LSP + CLI	horizontal	extensions lsp cli	Viem/ethers extensions, ts-plugin/vscode LSP, CLI binary.
H16	Top-level tevm package + test infra	horizontal	tevm test	Public barrel package (entrypoint surface) and the test harness packages.
V01	Forking & state proxying end-to-end	vertical	packages/state/src packages/blockchain/src packages/node/src packages/actions/src	Trace a forked-state read from RPC entry → state proxy → upstream fetch → cache. Look for cache-coherence and reorg correctness.
V02	JSON-RPC eth_* method surface	vertical	packages/actions/src/eth packages/procedures/src packages/decorators/src/eip1193	Spec conformance of eth_* methods (params, return shape, error codes).
V03	JSON-RPC anvil_* method surface	vertical	packages/actions/src/anvil packages/procedures/src	anvil_* parity with Foundry. Snapshot/revert, setStorageAt, impersonation.
V04	JSON-RPC debug_* and tevm_* methods	vertical	packages/actions/src/debug packages/actions/src/tevm packages/actions/src/tevm-request-handler packages/procedures/src	debug_traceCall/traceTransaction correctness; tevm_* custom surface.
V05	Solidity bundler pipeline (resolve→compile→codegen)	vertical	bundler-packages/base-bundler bundler-packages/compiler bundler-packages/resolutions bundler-packages/runtime bundler-packages/config	End-to-end: a .sol import becomes a JS module with types. Find bugs in import resolution, remappings, multi-file projects.
V06	Bundler caching strategy	vertical	bundler-packages/bundler-cache bundler-packages/base-bundler	Cache key composition, invalidation, file-system race conditions, cross-process safety.
V07	Hardfork readiness, gates, transitions	vertical	packages/common packages/vm packages/evm	Hardfork detection (Frontier→Cancun→Prague), per-fork gating of opcodes/precompiles/tx types, fork-transition bugs. Recent audit just landed.
V08	EIP-7702 (delegated authorization) e2e	vertical	packages/vm/src/actions/runTx.ts packages/tx packages/evm packages/actions packages/memory-client/src/test/viem/setCode.spec.ts	Authorization-list handling, code-delegation flag, gas accounting, replay protection, hardfork gate.
V09	EIP-3155 trace comparison tooling	vertical	test/eip3155 packages/vm/src packages/evm/src	Step-tracer correctness vs reference. Look at trace format, stack/memory snapshots, gas reporting.
V10	TypeScript LSP / Solidity type inference	vertical	lsp/ts-plugin lsp/lsp lsp/vscode bundler-packages/runtime	How .sol imports get typed in the editor. Look for stale-cache, decl-merging, edge cases (libraries, inheritance).
V11	Test infrastructure (matchers, conformance, hive)	vertical	test/test-matchers test/conformance-utils test/hardfork-conformance test/eip3155 test/hive extensions/test-matchers extensions/test-node	The test harness itself: fixture loaders, conformance runners, matcher ergonomics, hive integration.
V12	Memory client public API	vertical	packages/memory-client packages/node packages/decorators packages/client-types	The createMemoryClient surface and viem-compat decorator chain. API coherence, breaking-change risk.
V13	Predeploys & precompiles correctness	vertical	packages/predeploys packages/precompiles	OP-stack predeploys, custom precompile registration, gas accounting, fork-gated availability.
V14	Viem extension integration	vertical	extensions/viem packages/memory-client packages/decorators	tevmViemExtension, action-to-viem-action adapters, transport composition.
V15	Ethers compatibility shim	vertical	extensions/ethers	Ethers v5/v6 compatibility surface — Provider/Signer parity, BigNumber/Bigint coercion.
V16	CLI commands & UX	vertical	cli	Command surface, arg parsing, error messages, exit codes, interactive prompts.
