V01	Forking & state proxying end-to-end	vertical	packages/state/src packages/blockchain/src packages/node/src packages/actions/src	Trace a forked-state read from RPC entry → state proxy → upstream fetch → cache. Look for cache-coherence and reorg correctness.
V02	JSON-RPC eth_* method surface	vertical	packages/actions/src/eth packages/procedures/src packages/decorators/src/eip1193	Spec conformance of eth_* methods (params, return shape, error codes).
V03	JSON-RPC anvil_* method surface	vertical	packages/actions/src/anvil packages/procedures/src	anvil_* parity with Foundry. Snapshot/revert, setStorageAt, impersonation.
V04	JSON-RPC debug_* and tevm_* methods	vertical	packages/actions/src/debug packages/actions/src/tevm packages/actions/src/tevm-request-handler packages/procedures/src	debug_traceCall/traceTransaction correctness; tevm_* custom surface.
V05	Solidity bundler pipeline (resolve→compile→codegen)	vertical	bundler-packages/base-bundler bundler-packages/compiler bundler-packages/resolutions bundler-packages/runtime bundler-packages/config	End-to-end: a .sol import becomes a JS module with types. Find bugs in import resolution, remappings, multi-file projects.
V06	Bundler caching strategy	vertical	bundler-packages/bundler-cache bundler-packages/base-bundler	Cache key composition, invalidation, file-system race conditions, cross-process safety.
V07	Hardfork readiness, gates, transitions	vertical	packages/common packages/vm packages/evm	Hardfork detection (Frontier→Cancun→Prague), per-fork gating of opcodes/precompiles/tx types, fork-transition bugs. Recent audit just landed.
V08	EIP-7702 (delegated authorization) e2e	vertical	packages/vm/src/actions/runTx.ts packages/tx packages/evm packages/actions packages/memory-client/src/test/viem/setCode.spec.ts	Authorization-list handling, code-delegation flag, gas accounting, replay protection, hardfork gate.
V09	EIP-3155 trace comparison tooling	vertical	test/eip3155 packages/vm/src packages/evm/src	Step-tracer correctness vs reference. Look at trace format, stack/memory snapshots, gas reporting.
V10	TypeScript LSP / Solidity type inference	vertical	lsp/ts-plugin lsp/lsp lsp/vscode bundler-packages/runtime	How .sol imports get typed in the editor. Look for stale-cache, decl-merging, edge cases (libraries, inheritance).
V11	Test infrastructure (matchers, conformance, hive)	vertical	test/test-matchers test/conformance-utils test/hardfork-conformance test/eip3155 test/hive extensions/test-matchers extensions/test-node	The test harness itself: fixture loaders, conformance runners, matcher ergonomics, hive integration.
V12	Memory client public API	vertical	packages/memory-client packages/node packages/decorators packages/client-types	The createMemoryClient surface and viem-compat decorator chain. API coherence, breaking-change risk.
V13	Predeploys & precompiles correctness	vertical	packages/predeploys packages/precompiles	OP-stack predeploys, custom precompile registration, gas accounting, fork-gated availability.
V14	Viem extension integration	vertical	extensions/viem packages/memory-client packages/decorators	tevmViemExtension, action-to-viem-action adapters, transport composition.
V15	Ethers compatibility shim	vertical	extensions/ethers	Ethers v5/v6 compatibility surface — Provider/Signer parity, BigNumber/Bigint coercion.
V16	CLI commands & UX	vertical	cli	Command surface, arg parsing, error messages, exit codes, interactive prompts.
